document_name,pred_fitara
06-22DevelopmentofATrivalent(ABE)RecombinantBotulinumVaccine.pdf,0.0568
1-_SOW_posted.docx,0.4135
1737297_FAR_52.212-5.pdf,0.0001
1739952_JOFOC.pdf,0.0459
1797124_Brand_Name.pdf,0.1082
1797124_FAR_52_212_5.pdf,0.0
1803111_LSJ.pdf,0.1171
1809991_LSJ.pdf,0.0988
1809993__Bill_of_Materials.pdf,0.483
1812234_Bill_of_Materials.pdf,0.37
1812234_Statement_of_Work.pdf,0.1679
1833419_52.212-5_(Jan_2017).docx,0.0
1835383_BrandName.pdf,0.0896
1854832_SOW.docx,0.221
1855973_SOW_histology.docx,0.3898
1_-_Terms_&_Conditions_for_posting2.docx,0.0012
1_RFP0443.pdf,0.2222
2014013__Amendment_1final.pdf,0.0773
2015050__Amendment_1.pdf,0.2252
2Statement_of_Work1.doc,0.5029
34-FAR_52.212-5_Jan_2017.pdf,0.0
352.222-70_Contractor_Cooperation_in_Equal_Employment_Opportunity_Investigations_(DEC_2015).docx,0.1014
4-21-09_RFP_2009053_with_Attachments.pdf,0.0474
4-_52.212-5_(JAN_17)(99).docx,0.0
4_-_52.212-5_(JAN_17)(450).docx,0.0
52.203-98_Prohibition_on_2Contracting.docx,0.011
52.204-16.docx,0.461
52.212-1_Instructions_to_offerors.pdf,0.0563
52.212-1_Instructions_to_Offerors_JAN_2017.docx,0.1195
52.212-4_Contract_Terms_and_conditions.pdf,0.0407
52.212-4_Contract_Terms_and_Conditions_--_Commercial_Items(55)..docx,0.1102
52.212-5_(Feb_2016).docx,0.0
52.212-5_(Jan_2017)(300).docx,0.0
52.212-5_(Jan_2017)(52).docx,0.0
52.212-5_(Jan_2017)50.docx,0.0
52.212-5_(Jan_2017)_15.docx,0.0
52.212-5_(Jan_2017)_with_352.222-70_(Dec_2015).docx,0.0
52.212-5_(Mar_2016).docx,0.0
52.212-5_(Nov_2016)_25500.docx,0.0
52.212-5_Contract_T&C_Comm_Items_MAR_20136.docx,0.0001
52.212-5_Contract_T&C_Comm_Items_OCT_2016.docx,0.0
52.212-5_INSTRUCTIONS_MAR_2016.docx,0.0
522125.pdf,0.0
AMBIS_1613369.docx,0.3065
Amendment01.pdf,0.5047
Amendment3_RFP-NIAID-DMID-NIHAI2016059.docx,0.059
Amendment9_RFP-NIAID-DMID-NIHAI2016059.docx,0.0979
Amendment_2-_RFP-NIAID-DMIS-NIHAI2017089_Date_Change.pdf,0.1009
Amendment_2_-_Questions_and_Responses.docx,0.2394
